# ----------------------------------------,,,
# Pages and screens: Page path and screen class,,,
# Account: Client 4,,,
# Property: natyasutraonline - GA4,,,
# ----------------------------------------,,,
# ,,,
# All Users,,,
# Start date: 20250101,,,
# End date: 20251231,,,
Page path and screen class,Views,Average engagement time per active user,Bounce rate
/picture-gallery/asamyuta-hasta-bharatanatyam/Hamsapksa-Hasta,1149,46.51324503311258,0.05593719332679097
/bharatanatyam/rajashreewarrier/composition-padam-aduvum-solluvaal,1137,30.853113983548766,0.2222222222222222
/picture-gallery/asamyuta-hasta-bharatanatyam/Kapittha-Hasta/,1134,46.84277456647399,0.3206967213114754
/gita-govinda/epic/jayadeva-poet,1133,24.87220447284345,0.05822267620020429
/dance-compositions,1126,64.66409861325116,0.09090909090909091
/mohiniyattam/neena-prasad,1092,51.27231467473525,0.18628571428571428
/picture-gallery/asamyuta-hasta-bharatanatyam/Mayura-Hasta/,1080,41.235588972431074,0.32453245324532454
/bharatanatyam/rama-vaidhyanathan/composition-divine-cowherd-lord-krishna,1073,32.370523415977964,0.18113612004287247
/gita-govinda/epic/radha,1058,17.411694510739856,0.03341013824884793
/mohiniyattam/neena-prasad/composition-jatiswaram-saranga-raga,1034,32.07496251874063,0.12240184757505773
/gita-govinda/virachita-chaadu-vachana-prabhandh-20-pali-chandra-class-mugde-madhu-madhanam,1028,33.41231593038822,0.09080459770114943
/gita-govinda/all-24-prabandhs/class,1025,50.89078498293515,0.047142857142857146
/gita-govinda/epic/hinduism-bhakti-tradition,1024,19.23994974874372,0.05046948356807512
/bharatanatyam/rama-vaidhyanathan/composition-saddu-madalu-bedavo-rangayya,1011,35.42754662840746,0.12413793103448276
/picture-gallery/samyuta-hasta-bharatanatyam/Kapota-Hasta-Bharatanatyam,993,38.225352112676056,0.03205128205128205
/music/classical-veena/maya-varma/utsava-sampradaya-kritis,891,30.71862068965517,0.35785536159601
/mohiniyattam/neena-prasad/master-class-ananda-bhairavi-swarajathi,879,20.827794561933533,0.24592220828105396
/gita-govinda/epic/jayadeva-scholarly-contemporaries,851,21.138461538461538,0.010723860589812333
/picture-gallery/samyuta-hasta-bharatanatyam/Karkata-Hasta-Bharatanatyam,850,41.653910149750416,0.045454545454545456
/my-page/pgm/ardhanareeswara-ashtakam-learn-online/Nzg=/html,842,81.42682926829268,0.07786259541984733
/picture-gallery/asamyuta-hasta-bharatanatyam/Arala-Hasta/,837,47.338235294117645,0.28041543026706234
